,LOCATION,PRICE,TYPE_OF_PROPERTY,POOL,GARAGE,DATE,BEDROOM,SQM
411,QAWRA,87000.0,apartment,No,No,2015,3,
412,QAWRA,86500.0,apartment,No,Yes,2015,2,
413,QAWRA,75500.0,house,No,No,2015,3,
414,QAWRA,400000.0,house,No,No,2015,4,
415,QAWRA,220000.0,maisonette,No,Yes,2015,3,
416,QAWRA,135000.0,apartment,No,No,2015,3,
417,QAWRA,107000.0,apartment,No,No,2015,3,
418,QAWRA,96000.0,apartment,No,No,2015,3,
419,QAWRA,165000.0,house,No,No,2015,3,
420,QAWRA,340000.0,house,No,Yes,2015,3,
421,QAWRA,180000.0,house,No,No,2015,2,
422,QAWRA,320000.0,house,No,No,2015,3,
423,QAWRA,100000.0,apartment,No,No,2015,,
424,QAWRA,180000.0,house,No,No,2015,,
425,QAWRA,17800.0,apartment,No,Yes,2015,,
426,QORMI ,,house,No,No,2015,,370.0
427,QORMI,,maisonette,No,Yes,2015,,175.0
428,QORMI,238000.0,house,No,Yes,2015,,
429,QORMI,185000.0,,No,Yes,2015,,
430,QORMI,107000.0,apartment,No,No,2015,3,
431,QORMI,126000.0,apartment,No,Yes,2015,3,200.0
432,QORMI,195000.0,maisonette,Yes,No,2015,3,
433,QORMI,250000.0,house,No,Yes,2015,,
434,QRENDI,,house,No,No,2015,,
435,QRENDI,55000.0,,No,No,2015,,
436,RABAT,370000.0,apartment,No,No,2015,3,
437,RABAT,170000.0,apartment,No,No,2015,3,190.0
438,RABAT,200000.0,house,No,No,2015,3,
439,RABAT,450000.0,house,No,Yes,2015,3,
440,RABAT,270000.0,house,No,No,2015,,
441,RABAT,,house,No,No,2015,,
442,RABAT,,maisonette,No,No,2015,,50.0
443,RABAT,79000.0,apartment,No,No,2015,2,
444,RABAT,550000.0,villa,No,No,2015,,
445,RABAT,,apartment,No,No,2015,3,180.0
446,RABAT,,house,No,Yes,2015,3,
447,SALINA,650000.0,house,Yes,Yes,2015,,850.0
448,SAN ĠWANN,125000.0,maisonette,No,No,2015,,
449,SAN ĠWANN,,apartment,No,No,2015,2,100.0
450,SAN ĠWANN,123000.0,apartment,No,No,2015,3,
451,SAN ĠWANN,103000.0,apartment,No,No,2015,,
452,SAN ĠWANN,,house,No,Yes,2015,,
453,SAN ĠWANN,150000.0,apartment,No,No,2015,3,150.0
454,SAN ĠWANN,70000.0,apartment,No,No,2015,1,
455,SAN ĠWANN,,,No,No,2015,3,
456,SAN ĠWANN,138000.0,apartment,No,Yes,2015,3,
457,SAN ĠWANN,197500.0,house,No,No,2015,2,
458,SAN ĠWANN,72000.0,apartment,No,No,2015,1,
459,SAN ĠWANN,425000.0,house,No,Yes,2015,3,
460,SAN ĠWANN,103000.0,apartment,No,No,2015,,
461,SAN ĠWANN,153000.0,apartment,No,No,2015,,
462,SAN ĠWANN,128000.0,apartment,No,No,2015,,
463,SAN ĠWANN,125000.0,apartment,No,No,2015,3,
464,SAN PAWL TAT-TARĠA,255000.0,,No,Yes,2015,,
465,SAN PAWL TAT-TARĠA,214000.0,apartment,No,No,2015,3,
466,SAN PAWL TAT-TARĠA,465000.0,villa,No,No,2015,,
467,SAN PAWL TAT-TARĠA,214000.0,apartment,No,Yes,2015,3,139.0
468,SAN PAWL TAT-TARĠA,585000.0,villa,Yes,Yes,2015,3,
469,SAN PAWL TAT-TARĠA,225000.0,apartment,No,No,2015,3,
470,SANTA LUĊIJA,310000.0,house,Yes,Yes,2015,,55.0
471,SANTA MARIA ESTATE,595000.0,,No,No,2015,,
472,SANTA MARIA ESTATE,690000.0,,No,Yes,2015,,
473,,,,No,No,2015,,
474,SENGLEA ,35000.0,house,No,No,2015,,
475,SIĠĠIEWI,180000.0,house,No,No,2015,,
476,SIĠĠIEWI,182000.0,maisonette,No,No,2015,4,200.0
477,SIĠĠIEWI,,house,Yes,Yes,2015,3,400.0
478,SIĠĠIEWI,,maisonette,No,No,2015,3,
479,SIĠĠIEWI,325000.0,house,No,Yes,2015,,
480,SIĠĠIEWI,,apartment,No,No,2015,4,189.0
481,SIĠĠIEWI,950000.0,house,Yes,Yes,2015,,512.0
482,SIĠĠIEWI,218000.0,house,No,Yes,2015,,
483,SIĠĠIEWI,127000.0,apartment,No,Yes,2015,,
484,SIĠĠIEWI,120000.0,maisonette,No,No,2015,,
485,SLIEMA ,475000.0,apartment,No,No,2015,3,150.0
486,SLIEMA ,640000.0,apartment,No,No,2015,3,151.0
487,SLIEMA ,475000.0,apartment,No,No,2015,3,
