,LOCATION,PRICE,TYPE_OF_PROPERTY,POOL,GARAGE,DATE,BEDROOM,SQM
353,SAN ĠWANN,197500.0,house,No,No,2015,2,
354,SAN ĠWANN,72000.0,apartment,No,No,2015,1,
355,SAN ĠWANN,425000.0,house,No,Yes,2015,3,
356,SAN ĠWANN,103000.0,apartment,No,No,2015,3,
357,SAN ĠWANN,153000.0,apartment,No,No,2015,3,
358,SAN ĠWANN,128000.0,apartment,No,No,2015,3,
359,SAN ĠWANN,125000.0,apartment,No,No,2015,3,
360,ST PAUL,214000.0,apartment,No,No,2015,3,
361,ST PAUL,465000.0,villa,No,No,2015,3,
362,ST PAUL,214000.0,apartment,No,Yes,2015,3,139.0
363,ST PAUL,585000.0,villa,Yes,Yes,2015,3,
364,ST PAUL,225000.0,apartment,No,No,2015,3,
365,SENGLEA ,35000.0,house,No,No,2015,3,
366,SIĠĠIEWI,180000.0,house,No,No,2015,3,
367,SIĠĠIEWI,182000.0,maisonette,No,No,2015,4,200.0
368,SIĠĠIEWI,325000.0,house,No,Yes,2015,3,
369,SIĠĠIEWI,950000.0,house,Yes,Yes,2015,3,512.0
370,SIĠĠIEWI,218000.0,house,No,Yes,2015,3,
371,SIĠĠIEWI,127000.0,apartment,No,Yes,2015,3,
372,SIĠĠIEWI,120000.0,maisonette,No,No,2015,3,
373,SLIEMA ,475000.0,apartment,No,No,2015,3,150.0
374,SLIEMA ,640000.0,apartment,No,No,2015,3,151.0
375,SLIEMA ,475000.0,apartment,No,No,2015,3,
376,SLIEMA ,640000.0,apartment,No,No,2015,3,
377,SLIEMA ,500000.0,apartment,No,No,2015,3,
378,SLIEMA,530000.0,apartment,No,No,2015,3,
379,SLIEMA,550000.0,apartment,No,Yes,2015,4,
380,SLIEMA,640000.0,apartment,No,No,2015,3,
381,SLIEMA,330000.0,apartment,No,Yes,2015,3,120.0
382,SLIEMA,220000.0,apartment,No,No,2015,3,175.0
383,SLIEMA,750000.0,house,Yes,No,2015,3,330.0
384,SLIEMA,800000.0,apartment,No,No,2015,3,
385,SLIEMA,326000.0,house,No,No,2015,2,
386,SLIEMA,319000.0,apartment,No,Yes,2015,3,200.0
387,SLIEMA,400000.0,house,No,No,2015,3,
388,SLIEMA,260000.0,maisonette,No,No,2015,2,
389,SLIEMA,450000.0,house,No,Yes,2015,5,
390,SLIEMA,495000.0,house,No,Yes,2015,3,
391,SLIEMA,290000.0,apartment,No,No,2015,3,
392,SLIEMA,340000.0,apartment,No,No,2015,3,
393,SLIEMA,220000.0,apartment,No,No,2015,2,
394,SLIEMA,220000.0,apartment,No,No,2015,2,
395,SLIEMA,655000.0,apartment,No,Yes,2015,3,
396,SLIEMA,650000.0,apartment,No,Yes,2015,3,
397,SLIEMA,278000.0,house,No,No,2015,3,
398,SLIEMA,278000.0,apartment,No,Yes,2015,3,190.0
399,SLIEMA,330000.0,house,No,No,2015,2,
400,SLIEMA,290000.0,apartment,No,No,2015,3,
401,SLIEMA,198000.0,apartment,No,No,2015,3,
402,SLIEMA,385000.0,house,No,No,2015,3,
403,SLIEMA,290000.0,house,No,No,2015,3,
404,SLIEMA,165000.0,apartment,No,No,2015,3,
405,SLIEMA,240000.0,apartment,No,No,2015,3,
406,SLIEMA,294000.0,house,No,No,2015,3,
407,SLIEMA,415000.0,house,No,No,2015,3,125.0
408,SLIEMA,190000.0,apartment,No,Yes,2015,3,
409,SLIEMA,175000.0,maisonette,No,No,2015,3,
410,ST JULIANS,205000.0,apartment,No,Yes,2015,3,
411,ST JULIANS,233000.0,apartment,No,Yes,2015,3,150.0
412,ST JULIANS,205000.0,apartment,No,No,2015,3,
413,ST JULIANS,155000.0,apartment,No,No,2015,3,
414,ST JULIANS,239000.0,apartment,No,No,2015,3,
415,ST JULIANS,325000.0,apartment,No,No,2015,3,
416,ST JULIANS,295000.0,maisonette,No,No,2015,3,
417,ST JULIANS,330000.0,house,No,Yes,2015,3,280.0
418,ST JULIANS,850000.0,villa,Yes,No,2015,3,
419,ST JULIANS,425000.0,apartment,No,No,2015,2,
420,ST JULIANS,185000.0,apartment,No,No,2015,3,
421,ST JULIANS,205000.0,apartment,No,No,2015,3,
422,ST JULIANS,460000.0,house,Yes,No,2015,3,
423,ST JULIANS,158000.0,apartment,No,No,2015,3,
424,ST PAUL,116000.0,apartment,No,No,2015,2,48.0
425,ST PAUL,285000.0,house,No,No,2015,2,
426,ST PAUL,320000.0,apartment,No,No,2015,3,
427,ST PAUL,165000.0,maisonette,No,No,2015,3,
428,ST PAUL,109000.0,apartment,No,Yes,2015,2,
429,ST PAUL,135000.0,apartment,No,No,2015,3,
430,ST PAUL,345000.0,house,No,No,2015,3,
431,ST PAUL,179000.0,house,No,No,2015,3,
432,ST PAUL,162000.0,maisonette,No,Yes,2015,3,
433,ST PAUL,122000.0,apartment,No,No,2015,3,
434,ST PAUL,194250.0,house,No,No,2015,3,
435,ST PAUL,234000.0,apartment,No,No,2015,3,
436,ST PAUL,250000.0,apartment,No,No,2015,3,
437,ST PAUL,195000.0,apartment,No,No,2015,3,
438,ST PAUL,235000.0,apartment,No,No,2015,3,
439,ST PAUL,90000.0,apartment,No,No,2015,3,
440,ST PAUL,210000.0,house,No,No,2015,3,
441,ST VENERA,105000.0,apartment,No,No,2015,3,150.0
442,ST VENERA,190000.0,house,No,Yes,2015,3,
443,ST VENERA,340000.0,house,No,No,2015,4,213.0
444,ST VENERA,110000.0,apartment,No,No,2015,3,
445,ST VENERA,128000.0,maisonette,No,Yes,2015,4,240.0
446,ST VENERA,94000.0,house,No,Yes,2015,3,
447,ST VENERA,183000.0,maisonette,No,No,2015,3,
448,ST VENERA,90000.0,apartment,No,No,2015,3,
449,SWATAR,139000.0,apartment,No,No,2015,3,
450,SWIEQI,525000.0,villa,Yes,Yes,2015,3,
451,SWIEQI,295000.0,maisonette,No,No,2015,3,180.0
452,SWIEQI,217000.0,apartment,No,No,2015,3,145.0
453,SWIEQI,160000.0,apartment,No,No,2015,2,
454,SWIEQI,182000.0,apartment,No,No,2015,3,
455,SWIEQI,350000.0,house,No,Yes,2015,3,
456,SWIEQI,217000.0,apartment,No,No,2015,3,
457,SWIEQI,250000.0,maisonette,No,Yes,2015,3,145.0
458,SWIEQI,217000.0,apartment,No,No,2015,3,
459,SWIEQI,185000.0,apartment,No,Yes,2015,3,
460,SWIEQI,525000.0,villa,Yes,Yes,2015,3,
461,SWIEQI,420000.0,house,No,Yes,2015,3,
462,SWIEQI,525000.0,villa,Yes,Yes,2015,3,
463,SWIEQI,605000.0,villa,Yes,Yes,2015,3,
464,TA' XBIEX,850000.0,apartment,No,Yes,2015,3,270.0
465,TA' XBIEX,295000.0,apartment,No,No,2015,3,190.0
466,TA' XBIEX,850000.0,villa,No,Yes,2015,3,
467,TAL-IBRAĠ,295000.0,apartment,No,Yes,2015,2,131.0
468,TAL-IBRAĠ,315000.0,house,No,No,2015,3,155.0
469,TAL-IBRAĠ,255000.0,apartment,No,Yes,2015,3,120.0
470,TAL-IBRAĠ,163000.0,apartment,No,No,2015,3,
471,TAL-IBRAĠ,358000.0,house,No,Yes,2015,3,
472,TAL-IBRAĠ,98000.0,apartment,No,No,2015,3,
473,TARXIEN,113000.0,maisonette,No,No,2015,2,
474,TARXIEN,75000.0,house,No,No,2015,3,
475,TARXIEN,99000.0,maisonette,No,No,2015,3,
476,TARXIEN,245000.0,house,No,Yes,2015,4,
477,TARXIEN,125000.0,house,No,No,2015,3,
